Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Toko Buku Semarang Al-Manshuroh Agency,https://lh5.googleusercontent.com/p/AF1QipOCR_7kjKYiUbhlvd7ELztoHpsUSMNpUnr6auRr=w162-h92-k-no,https://www.google.com/maps/place/Toko+Buku+Semarang+Al-Manshuroh+Agency/data=!4m7!3m6!1s0x2e708c02fba14bff:0xf7d755fffdc93d57!8m2!3d-7.0536795!4d110.4305584!16s%2Fg%2F11bzrpyjkr!19sChIJ_0uh-wKMcC4RVz3J_f9V1_c?authuser=0&hl=id&rclk=1,"4,7",(722),Toko Buku,Jl. Prof. Sudarto No.1, ⋅ Tutup pukul 21.00
Luarizz Snack,https://lh5.googleusercontent.com/p/AF1QipOTnmecXLpOi-wG2YvCNyZoL4BPiQF_wVZ9T6fr=w163-h92-k-no,https://www.google.com/maps/place/Luarizz+Snack/data=!4m7!3m6!1s0x2e708dd283b1b57f:0x240bef1e5dfb12fc!8m2!3d-7.0242725!4d110.4685343!16s%2Fg%2F11tmyfbc28!19sChIJf7Wxg9KNcC4R_BL7XR7vCyQ?authuser=0&hl=id&rclk=1,"5,0",(25),Toko Makanan,Jl. Fatmawati No.252, ⋅ 20.00 ⋅ Buka Min pukul 10.00
Rumah Brownies Maylisa,https://lh5.googleusercontent.com/p/AF1QipNmdxbY7tmhD6lA0CGus-Lg_128E1dqx-81RPO4=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Brownies+Maylisa/data=!4m7!3m6!1s0x2e708dcbe8dbcd8d:0xb1585fa521c5c03a!8m2!3d-7.037811!4d110.4788962!16s%2Fg%2F11dzd4m3z_!19sChIJjc3b6MuNcC4ROsDFIaVfWLE?authuser=0&hl=id&rclk=1,"4,9",(17),Toko Kue,"RUKO KLIPANG PESONA ASRI GOLF KAV 7, Ruko KPA Golf View Kav. 7B, Jalan Klipang Raya, (Depan Pagar Tembok Lapangan Golf), Sendangmulyo, Tembalang, Jl. Klipang Raya", ⋅ Tutup pukul 20.30
Kuliner Jajanan Nusantara,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_2NBz11k7hjDneECjN0t5g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=35.650097&pitch=0&thumbfov=100,https://www.google.com/maps/place/Kuliner+Jajanan+Nusantara/data=!4m7!3m6!1s0x2e708c5ad07fb433:0xcc9e995a7868b0ea!8m2!3d-7.023876!4d110.459545!16s%2Fg%2F11f10dx096!19sChIJM7R_0FqMcC4R6rBoeFqZnsw?authuser=0&hl=id&rclk=1,,,Toko Kue,"XFG5+CRV Area Foodcourt GAYA Swalayan, Jl. Kedungmundu", ⋅ Buka Min pukul 05.00
Aneka Jaya Sambiroto,https://lh5.googleusercontent.com/p/AF1QipPdkvk0x3XVKt60qAeZybYUeo4AHxIXtj3K30pA=w163-h92-k-no,https://www.google.com/maps/place/Aneka+Jaya+Sambiroto/data=!4m7!3m6!1s0x2e708c4686f172df:0xd7179290485ba3fb!8m2!3d-7.0301051!4d110.458847!16s%2Fg%2F11b8c37mzr!19sChIJ33LxhkaMcC4R-6NbSJCSF9c?authuser=0&hl=id&rclk=1,"4,3",(3.205),Toko Swalayan,Jl. Sambiroto Raya No.100, ⋅ Tutup pukul 21.00
OLEH OLEH 52 MADUKORO SEMARANG,https://lh5.googleusercontent.com/p/AF1QipMJZrkrXNYac0xnBL5LKXE6W_awIYLzcyshN4Yi=w122-h92-k-no,https://www.google.com/maps/place/OLEH+OLEH+52+MADUKORO+SEMARANG/data=!4m7!3m6!1s0x2e708b887bcaaced:0xfaa2e73c6eac3d00!8m2!3d-6.9767071!4d110.4005231!16s%2Fg%2F11gy7qvgnz!19sChIJ7azKe4iLcC4RAD2sbjznovo?authuser=0&hl=id&rclk=1,"4,4",(1.152),Toko Suvenir,Jl. Madukoro Raya No.3, ⋅ Tutup pukul 21.00
"(FADA TOUR INTERNASIONAL) melayani oleh oleh umroh semarang, pemberangkatan haji khusus langsung berangkat",https://lh5.googleusercontent.com/p/AF1QipP8z9XScxqF0PvxUWs7s0Y6EXIDdye0fR_1CdBZ=w163-h92-k-no,"https://www.google.com/maps/place/%28FADA+TOUR+INTERNASIONAL%29+melayani+oleh+oleh+umroh+semarang,+pemberangkatan+haji+khusus+langsung+berangkat/data=!4m7!3m6!1s0x2e708d6c93b53cb3:0xd1cefa9e1c1deab6!8m2!3d-7.0370417!4d110.4719986!16s%2Fg%2F11jny1lcgx!19sChIJszy1k2yNcC4RtuodHJ76ztE?authuser=0&hl=id&rclk=1","5,0",(6),Biro Perjalanan dan Wisata,"Perum tulus harapan c105, Sendangmulyo, Tembalang", ⋅ Tutup pukul 21.00
Warung Bu Ridwan,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=njBaPpn6GgkKEQyxrcBXjg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=206.13943&pitch=0&thumbfov=100,https://www.google.com/maps/place/Warung+Bu+Ridwan/data=!4m7!3m6!1s0x2e708db7d02dd033:0xe2ff72f196d147fa!8m2!3d-7.019677!4d110.4671913!16s%2Fg%2F11j1h82khc!19sChIJM9At0LeNcC4R-kfRlvFy_-I?authuser=0&hl=id&rclk=1,"4,6",(7),Toko bahan makanan,"Jl. Amposari Sel. I No.3, RT.3/RW.3",
Toko Roti Kapiten CitraGrand Semarang,https://lh5.googleusercontent.com/p/AF1QipOk-XUARsWWWzLFlpgjB42_T7WwUFFGElD71D1N=w80-h100-k-no,https://www.google.com/maps/place/Toko+Roti+Kapiten+CitraGrand+Semarang/data=!4m7!3m6!1s0x2e708d0074f4e041:0x93438fa241e7993a!8m2!3d-7.0369491!4d110.4568913!16s%2Fg%2F11sd2xn4c6!19sChIJQeD0dACNcC4ROpnnQaKPQ5M?authuser=0&hl=id&rclk=1,"4,9",(54),Toko Roti,Jl. Kompol R Soekanto, ⋅ Tutup pukul 21.00
bandeng presto dan tahu bakso new citra semarang,https://lh5.googleusercontent.com/p/AF1QipNQivB7Rax6R7mwcipeVfbOW7UQdCbpuh-uQv27=w204-h92-k-no,https://www.google.com/maps/place/bandeng+presto+dan+tahu+bakso+new+citra+semarang/data=!4m7!3m6!1s0x2e708c5ff638b76b:0xa94b450381e67237!8m2!3d-7.014627!4d110.4515099!16s%2Fg%2F11dym0536j!19sChIJa7c49l-McC4RN3LmgQNFS6k?authuser=0&hl=id&rclk=1,"4,4",(68),Pusat Perbelanjaan,"rt 4 rw 5, Jl. Rogojembangan Tim.",
