Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time,Latitude,Longtitude
Rumah Makan Setya,https://lh5.googleusercontent.com/p/AF1QipOpcVffYd5OlMTPdkHGOoVuAlsjZuPzwfS7MQPT=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Setya/data=!4m7!3m6!1s0x2e708eaafc8099eb:0x6f227ddb169d1323!8m2!3d-7.0585528!4d110.4286532!16s%2Fg%2F11dzdk7h_k!19sChIJ65mA_KqOcC4RIxOdFtt9Im8?authuser=0&hl=id&rclk=1,"4,5",(924),Dim Sum,Jl. Tirto Agung No.65, ⋅ Tutup pukul 22.00,110.415419,110.415419
Cafe Angkringan Honger,https://lh5.googleusercontent.com/p/AF1QipO34a_7CrZbGy6fIiKj2SMngLtntAyKy7lqmMk=w122-h92-k-no,https://www.google.com/maps/place/Cafe+Angkringan+Honger/data=!4m7!3m6!1s0x2e7089276375671f:0xbb9c969ccaac7c14!8m2!3d-7.0757269!4d110.4199291!16s%2Fg%2F11l9n5g9kq!19sChIJH2d1YyeJcC4RFHysypyWnLs?authuser=0&hl=id&rclk=1,"4,5",(541),Restoran,Jl. Kr. Rejo Raya No.Rt.01/08, ⋅ Tutup pukul 22.00,110.415419,110.415419
KANE Semarang,https://lh5.googleusercontent.com/p/AF1QipPJvdsovVKyXldN7ChDXEPSb0pifc7mGvJst0OL=w80-h106-k-no,https://www.google.com/maps/place/KANE+Semarang/data=!4m7!3m6!1s0x2e708ea9ea46f481:0x9be227b2a0241bcb!8m2!3d-7.0570946!4d110.4335369!16s%2Fg%2F11bw4q9mmv!19sChIJgfRG6qmOcC4RyxskoLIn4ps?authuser=0&hl=id&rclk=1,"4,4",(2.402),Restoran,Jl. Jatimulyo No.8, ⋅ Tutup pukul 22.00,110.415419,110.415419
Bakmi Bandar Semar,https://lh5.googleusercontent.com/p/AF1QipPtRl795dYVY30EIIYJTY_qZdCQCRyKgMst4AS4=w163-h92-k-no,https://www.google.com/maps/place/Bakmi+Bandar+Semar/data=!4m7!3m6!1s0x2e70894c4a093a41:0xe5fb0bb46b0b9ba5!8m2!3d-7.0684309!4d110.4183235!16s%2Fg%2F1hc72n16r!19sChIJQToJSkyJcC4RpZsLa7QL--U?authuser=0&hl=id&rclk=1,"4,0",(131),Mi,Jl. Jati Raya No.C-21a, ⋅ Tutup pukul 21.00,110.415419,110.415419
Waroeng Kuliner Pak Edy 4,https://lh5.googleusercontent.com/p/AF1QipO2u7WQSdYrMBg4gdrgyX_8ESJam8C_iPRa9uv5=w163-h92-k-no,https://www.google.com/maps/place/Waroeng+Kuliner+Pak+Edy+4/data=!4m7!3m6!1s0x2e708bf9fd1963e1:0xb9294e0e89521c5a!8m2!3d-7.0466102!4d110.4209896!16s%2Fg%2F11b_2_dpgx!19sChIJ4WMZ_fmLcC4RWhxSiQ5OKbk?authuser=0&hl=id&rclk=1,"4,3",(81),Rumah Makan,Jl. Setia Budi No.52A, ⋅ Tutup pukul 22.00,110.415419,110.415419
"Waroeng Spesial Sambal ""SS"" Tembalang",https://lh5.googleusercontent.com/p/AF1QipMxi8xq_lDX_6ICHbP861yGfkEfPcJStVN7lVcm=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Spesial+Sambal+%22SS%22+Tembalang/data=!4m7!3m6!1s0x2e708eaa86d0863f:0xf575ec8d1cb7e39d!8m2!3d-7.0568018!4d110.4289092!16s%2Fg%2F11c609d_sq!19sChIJP4bQhqqOcC4RneO3HI3sdfU?authuser=0&hl=id&rclk=1,"4,3",(3.440),Rumah Makan,Jl. Tirto Agung No.32, ⋅ Tutup pukul 22.00,110.415419,110.415419
Es Teler Banyumanik,https://lh5.googleusercontent.com/p/AF1QipNGA4EwN3sV8EvFbfs_7VSiQi1F-KDRv1evUI0x=w80-h106-k-no,https://www.google.com/maps/place/Es+Teler+Banyumanik/data=!4m7!3m6!1s0x2e70894a187c4119:0x3182558422a4e467!8m2!3d-7.075865!4d110.42095!16s%2Fg%2F11bzrhtmz5!19sChIJGUF8GEqJcC4RZ-SkIoRVgjE?authuser=0&hl=id&rclk=1,"4,5",(872),Rumah Makan,Jl. Cemara Raya No.8, ⋅ Tutup pukul 17.00,110.415419,110.415419
Soto Sedeep,https://lh5.googleusercontent.com/p/AF1QipOFjAfaKM7hqNTC8usR3CDNQ4OuhkTKgmuauHge=w163-h92-k-no,https://www.google.com/maps/place/Soto+Sedeep/data=!4m7!3m6!1s0x2e708949a56acd19:0x3e3c085e36bada1!8m2!3d-7.0753219!4d110.4181368!16s%2Fg%2F11c3mpq4v_!19sChIJGc1qpUmJcC4Roa1r44XA4wM?authuser=0&hl=id&rclk=1,"4,4",(2.014),Jawa,Jl. Kr. Rejo Raya No.60A, ⋅ Tutup pukul 22.00,110.415419,110.415419
Warung Lesehan Fifty Fifty Sumurboto Banyumanik,https://lh5.googleusercontent.com/p/AF1QipNxvJapq6yf1QZPYa3p47_U3nGKxM-Z29LCqW4K=w122-h92-k-no,https://www.google.com/maps/place/Warung+Lesehan+Fifty+Fifty+Sumurboto+Banyumanik/data=!4m7!3m6!1s0x2e708bf8b1aee5e7:0xdf71de83d793a64b!8m2!3d-7.0530081!4d110.4289443!16s%2Fg%2F1hm2db08v!19sChIJ5-WusfiLcC4RS6aT14Pecd8?authuser=0&hl=id&rclk=1,"4,3",(3.822),Jawa,Jl. Ngesrep Tim. V No.118,,110.415419,110.415419
Warung Penyet Lesehan Mas Pur 2,https://lh5.googleusercontent.com/p/AF1QipPBLzNeL4DVIg6dEmGL90ISlhE7MTBwKSO37z1f=w122-h92-k-no,https://www.google.com/maps/place/Warung+Penyet+Lesehan+Mas+Pur+2/data=!4m7!3m6!1s0x2e708c002a7fc085:0x94e8be2b752506ac!8m2!3d-7.0562817!4d110.4290441!16s%2Fg%2F1hm5f5_g0!19sChIJhcB_KgCMcC4RrAYldSu-6JQ?authuser=0&hl=id&rclk=1,"4,2",(1.243),Jawa,Jl. Tirto Agung No.24, ⋅ Tutup pukul 22.00,110.415419,110.415419
Rumah Makan Mie Bandar,https://lh5.googleusercontent.com/p/AF1QipP-djmFXGj8HAptz92Rt2hqjiXoKa56D3Ho7JEb=w163-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Mie+Bandar/data=!4m7!3m6!1s0x2e70894c49a412dd:0xe23e144589d17863!8m2!3d-7.0698053!4d110.4218564!16s%2Fg%2F11b6d215dh!19sChIJ3RKkSUyJcC4RY3jRiUUUPuI?authuser=0&hl=id&rclk=1,"4,4",(8),Mi,Jl. Jati Raya No.21, ⋅ Tutup pukul 21.00,110.415419,110.415419
