Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Warung Bakmi Jowo Mas Tri 2,https://lh5.googleusercontent.com/p/AF1QipOvqRs3vkAZSZ6LbvZtDaPkC3oTJBF4jfOj_N8N=w163-h92-k-no,https://www.google.com/maps/place/Warung+Bakmi+Jowo+Mas+Tri+2/data=!4m7!3m6!1s0x2e708ea453a8bc4b:0x97bd975c3278be86!8m2!3d-7.0629089!4d110.4411785!16s%2Fg%2F11c5_j231_!19sChIJS7yoU6SOcC4Rhr54MlyXvZc?authuser=0&hl=id&rclk=1,"4,5",(135),Mi,"WCPR+RFM, Jl. Gondang Raya", ⋅ 23.30 ⋅ Buka Kam pukul 17.00
Warung FSC Tembalang,https://lh5.googleusercontent.com/p/AF1QipNkV2FmgyyNKo1p7mjDIO_1SD8kgakuDfdHncQF=w122-h92-k-no,https://www.google.com/maps/place/Warung+FSC+Tembalang/data=!4m7!3m6!1s0x2e708ea8921b6653:0xe4f3e0275a6c4f34!8m2!3d-7.0595603!4d110.4369736!16s%2Fg%2F11c6r8klmz!19sChIJU2YbkqiOcC4RNE9sWifg8-Q?authuser=0&hl=id&rclk=1,"4,3",(961),Rumah Makan,Jl. Banjarsari No.9, ⋅ Buka Kam pukul 09.00
"Waroeng Spesial Sambal ""SS"" Tembalang",https://lh5.googleusercontent.com/p/AF1QipMxi8xq_lDX_6ICHbP861yGfkEfPcJStVN7lVcm=w122-h92-k-no,https://www.google.com/maps/place/Waroeng+Spesial+Sambal+%22SS%22+Tembalang/data=!4m7!3m6!1s0x2e708eaa86d0863f:0xf575ec8d1cb7e39d!8m2!3d-7.0568018!4d110.4289092!16s%2Fg%2F11c609d_sq!19sChIJP4bQhqqOcC4RneO3HI3sdfU?authuser=0&hl=id&rclk=1,"4,3",(3.440),Rumah Makan,Jl. Tirto Agung No.32, ⋅ Buka Kam pukul 10.00
Depot Sukses Tembalang,https://lh5.googleusercontent.com/p/AF1QipNqKjuPnqibiouoqrCOGGlDuq-8cTJSoE2XKNR8=w80-h106-k-no,https://www.google.com/maps/place/Depot+Sukses+Tembalang/data=!4m7!3m6!1s0x2e708ea9e711848b:0x642aa28680be222e!8m2!3d-7.0583681!4d110.4347852!16s%2Fg%2F11dfgry3ck!19sChIJi4QR56mOcC4RLiK-gIaiKmQ?authuser=0&hl=id&rclk=1,"4,5",(2.721),Jepang,Jl. Jatimulyo No.5A, ⋅ Buka Kam pukul 12.00
Warung Makan Sedap Malam,https://lh5.googleusercontent.com/p/AF1QipOiN4EaPG_YgfhSbp6c3w9uzPKWlA-jEAi2jsYl=w80-h106-k-no,https://www.google.com/maps/place/Warung+Makan+Sedap+Malam/data=!4m7!3m6!1s0x2e708c02fc8404c5:0x8acc85782c515aa2!8m2!3d-7.053836!4d110.43573!16s%2Fg%2F11dfgf_c3t!19sChIJxQSE_AKMcC4RolpRLHiFzIo?authuser=0&hl=id&rclk=1,"4,3",(25),Rumah Makan,Jl. Galang Sewu Raya No.12, ⋅ Buka Kam pukul 05.00
Parama Cafe Semarang,https://lh5.googleusercontent.com/p/AF1QipMaxTaYbmc64UrKl0XYb_vZrvmQOoQgzWO-6Sru=w163-h92-k-no,https://www.google.com/maps/place/Parama+Cafe+Semarang/data=!4m7!3m6!1s0x2e708eaf67775d95:0xba87d2e97d071c9b!8m2!3d-7.0623749!4d110.4375162!16s%2Fg%2F11f3vmp30v!19sChIJlV13Z6-OcC4RmxwHfenSh7o?authuser=0&hl=id&rclk=1,"4,6",(328),Kafe,Jl. Tlogosari No.raya, ⋅ 23.45 ⋅ Buka Kam pukul 11.00
Warung Penyet Lesehan Mas Pur 2,https://lh5.googleusercontent.com/p/AF1QipPBLzNeL4DVIg6dEmGL90ISlhE7MTBwKSO37z1f=w122-h92-k-no,https://www.google.com/maps/place/Warung+Penyet+Lesehan+Mas+Pur+2/data=!4m7!3m6!1s0x2e708c002a7fc085:0x94e8be2b752506ac!8m2!3d-7.0562817!4d110.4290441!16s%2Fg%2F1hm5f5_g0!19sChIJhcB_KgCMcC4RrAYldSu-6JQ?authuser=0&hl=id&rclk=1,"4,2",(1.243),Jawa,Jl. Tirto Agung No.24, ⋅ Buka Kam pukul 09.30
Burjo Motekar 4,https://lh5.googleusercontent.com/p/AF1QipNaeFybuxTkD6g7SNBvzWm_Mw-res-X6YFHJuBa=w122-h92-k-no,https://www.google.com/maps/place/Burjo+Motekar+4/data=!4m7!3m6!1s0x2e708c02eb67e8b7:0x65f7c161c8446ebf!8m2!3d-7.052487!4d110.4360138!16s%2Fg%2F11d_26c7k0!19sChIJt-hn6wKMcC4Rv25EyGHB92U?authuser=0&hl=id&rclk=1,"4,5",(332),Mi,Jl. Galang Sewu Raya,
Warteg Putri Bahari,https://lh5.googleusercontent.com/p/AF1QipO7pwn9gCtM7BwNcRE63lW4R2zcXtQqO4nWS-sN=w122-h92-k-no,https://www.google.com/maps/place/Warteg+Putri+Bahari/data=!4m7!3m6!1s0x2e708fdad00c2d01:0x8b25df22982388c7!8m2!3d-7.0595976!4d110.4387887!16s%2Fg%2F11ny2y5xf2!19sChIJAS0M0NqPcC4Rx4gjmCLfJYs?authuser=0&hl=id&rclk=1,"4,6",(102),Tegal,Jl. Banjarsari No.31,
Burjo Rock Star 9,https://lh5.googleusercontent.com/p/AF1QipOZ6buc2a-0zxP9QrtuJCGFXMIjebxKxXpYHmOo=w80-h106-k-no,https://www.google.com/maps/place/Burjo+Rock+Star+9/data=!4m7!3m6!1s0x2e708c03d66da689:0x36e37c2c058c07c2!8m2!3d-7.0535064!4d110.4321882!16s%2Fg%2F11dzt55vkx!19sChIJiaZt1gOMcC4RwgeMBSx84zY?authuser=0&hl=id&rclk=1,"4,4",(456),Rumah Makan,Jl. Banyu Putih Raya No.14,
