Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Warung Makan Bakmi Jowo Dan Nasi Goreng Babat Mas Anto,https://lh5.googleusercontent.com/p/AF1QipNth1vg7Slm6y8QbgnJuVD3q7BCIUcklKWNLHr-=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Bakmi+Jowo+Dan+Nasi+Goreng+Babat+Mas+Anto/data=!4m7!3m6!1s0x2e70f2cd43af848f:0x23d8ef73aef4067f!8m2!3d-6.9707547!4d110.4857493!16s%2Fg%2F11d_2lfdmq!19sChIJj4SvQ83ycC4Rfwb0rnPv2CM?authuser=0&hl=id&rclk=1,"4,7",(69),Nasi Goreng,"Jalan Banjardowo, Genuk, Semarang", ⋅ Tutup pukul 23.00
ME COOKING,https://lh5.googleusercontent.com/p/AF1QipNgt8xfmV4Ffyo40MYh-sinLc1qCpqJEOwo2EQm=w80-h106-k-no,https://www.google.com/maps/place/ME+COOKING/data=!4m7!3m6!1s0x2e70f3c5ae788d19:0x85548ef3356b416b!8m2!3d-6.9710352!4d110.4625216!16s%2Fg%2F11j2xpwnjb!19sChIJGY14rsXzcC4Ra0FrNfOOVIU?authuser=0&hl=id&rclk=1,"4,9",(73),Restoran,Jl. Ngablak Indah III No.21, ⋅ Tutup pukul 23.00
Warung Makan Bu Masri Mba Rini,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oVR7vb_240KbF2lcxkAwOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=235.70253&pitch=0&thumbfov=100,https://www.google.com/maps/place/Warung+Makan+Bu+Masri+Mba+Rini/data=!4m7!3m6!1s0x2e70f32a683adbdf:0x96d074b595275367!8m2!3d-6.971195!4d110.4711766!16s%2Fg%2F11f03x5k1x!19sChIJ39s6aCrzcC4RZ1MnlbV00JY?authuser=0&hl=id&rclk=1,"4,4",(36),Jawa,"2FHC+GFF, Jl. Widuri 1, RT.06/RW.06", ⋅ Tutup pukul 21.00
Rumah Makan Arto Moro,https://lh5.googleusercontent.com/p/AF1QipPYnMgcFRI6b6PJ8aktbGZ3jEVGBrfsdt2Qn_KD=w80-h142-k-no,https://www.google.com/maps/place/Rumah+Makan+Arto+Moro/data=!4m7!3m6!1s0x2e708dc76fe0d86f:0xbcd4f3bf4c631268!8m2!3d-6.9829709!4d110.4762209!16s%2Fg%2F11ff0wj4zz!19sChIJb9jgb8eNcC4RaBJjTL_z1Lw?authuser=0&hl=id&rclk=1,"4,2",(12),Restoran,"2F8G+RF9, Jl. Bangetayu Raya", ⋅ Tutup pukul 23.00
Warung Makan Bu Maryati,https://lh5.googleusercontent.com/p/AF1QipMGRfq4-GY3XyLmJytHIECvvP3WIiIxi2OC5F1y=w163-h92-k-no,https://www.google.com/maps/place/Warung+Makan+Bu+Maryati/data=!4m7!3m6!1s0x2e70f2d3b2f4c50f:0x2b284638ff9d603d!8m2!3d-6.9693889!4d110.4825547!16s%2Fg%2F11f_425kqh!19sChIJD8X0stPycC4RPWCd_zhGKCs?authuser=0&hl=id&rclk=1,"4,8",(6),Jawa,Jalan Raya Genuk Kudu RT 01 RW 06, ⋅ Tutup pukul 21.00
CATERING dan SNACK MBAK RINI,https://lh5.googleusercontent.com/p/AF1QipNE0zj67a7I32Bkkni48lprqQw7A0onHVYmfYDS=w94-h92-k-no,https://www.google.com/maps/place/CATERING+dan+SNACK+MBAK+RINI/data=!4m7!3m6!1s0x2e70f39842b0cfd5:0xb2105d94049243fe!8m2!3d-6.9690554!4d110.4818506!16s%2Fg%2F11mftcp5tv!19sChIJ1c-wQpjzcC4R_kOSBJRdELI?authuser=0&hl=id&rclk=1,"5,0",(2),Rumah Makan,Jl. Wolter Monginsidi Jl. Banjardowo Tlogo, ⋅ Tutup pukul 21.00
Samset Geprek Londo,https://lh5.googleusercontent.com/p/AF1QipNLDIhKvvpGSBfjsVQju9yokZTkoGsVNnxuzldb=w80-h142-k-no,https://www.google.com/maps/place/Samset+Geprek+Londo/data=!4m7!3m6!1s0x2e70f36a142ec20d:0x929a685a383e3229!8m2!3d-6.9692979!4d110.482027!16s%2Fg%2F11hqlzp79r!19sChIJDcIuFGrzcC4RKTI-OFpompI?authuser=0&hl=id&rclk=1,"2,4",(16),Restoran,"2FJJ+7RJ, Jl. Wolter Monginsidi Genuk Semarang", ⋅ Tutup pukul 22.00
Sate ayam memel bu bakir,https://lh5.googleusercontent.com/p/AF1QipOuldiE3xzNGx1ObU-c8gs1vx2re603L-n8_Lmh=w122-h92-k-no,https://www.google.com/maps/place/Sate+ayam+memel+bu+bakir/data=!4m7!3m6!1s0x2e70f32deef676c9:0xf907a48aeef686fd!8m2!3d-6.9681063!4d110.4663101!16s%2Fg%2F11f1029kc6!19sChIJyXb27i3zcC4R_Yb27oqkB_k?authuser=0&hl=id&rclk=1,"4,3",(6),Sate,"Jalan kapas 6 blok a no.76, Gebangsari, Genuk", ⋅ Tutup pukul 21.00
Teras Omahan Bu Agna,https://lh5.googleusercontent.com/p/AF1QipOC6AUJTlhteacDy2V9xvLa91sCfHDUMlqnPKAz=w80-h142-k-no,https://www.google.com/maps/place/Teras+Omahan+Bu+Agna/data=!4m7!3m6!1s0x2e70f30204274c5f:0xeefed2e29fb3a17b!8m2!3d-6.9651879!4d110.4697837!16s%2Fg%2F11nnqtq2jf!19sChIJX0wnBALzcC4Re6Gzn-LS_u4?authuser=0&hl=id&rclk=1,"4,5",(12),Sesuai untuk keluarga,"2FM9+WWF, Jl. Genuksari", ⋅ Tutup pukul 00.00
Kedai Azzaky,https://lh5.googleusercontent.com/p/AF1QipMe0RkMvFlwJlVF7rJajMtKVBCGw2-VdcOf-c4=w122-h92-k-no,https://www.google.com/maps/place/Kedai+Azzaky/data=!4m7!3m6!1s0x2e708de8489f98f3:0x49393e85f50351!8m2!3d-6.9771869!4d110.4713705!16s%2Fg%2F11rgfkf26m!19sChIJ85ifSOiNcC4RUQP1hT45SQA?authuser=0&hl=id&rclk=1,"5,0",(10),Restoran,2FFC+4GH, ⋅ Tutup pukul 22.00
