Title,Image,URL,Rating,Num_Rating,Category,Address,Closed_Time
Takasi Murah,https://lh5.googleusercontent.com/p/AF1QipNUw2v4R8OU6-c3bDruPr1Mnx34GKL0jDbFymR1=w143-h92-k-no,https://www.google.com/maps/place/Takasi+Murah/data=!4m7!3m6!1s0x2e708d44ee660aa3:0x38041cced96c131a!8m2!3d-7.0039374!4d110.4501312!16s%2Fg%2F11p5j7rx48!19sChIJowpm7kSNcC4RGhNs2c4cBDg?authuser=0&hl=id&rclk=1,"4,9",(11),Restoran,, ⋅ Tutup pukul 22.00
Sate Jamur Kaka Masrum,https://lh5.googleusercontent.com/p/AF1QipOz7MJpVXief6b5Jfyz_CG5O_AJeHju0MvMu59d=w92-h92-k-no,https://www.google.com/maps/place/Sate+Jamur+Kaka+Masrum/data=!4m7!3m6!1s0x2e708cea9fb3fcdb:0x898ec9f764a7de2f!8m2!3d-6.9943858!4d110.4517088!16s%2Fg%2F11cp5fz4j7!19sChIJ2_yzn-qMcC4RL96nZPfJjok?authuser=0&hl=id&rclk=1,"4,1",(11),Sate,"2F42+6MW, Jl. Kanguru Utara V", ⋅ Tutup pukul 22.30
Nasi ayam mbak wiwik,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aVFD8v4ykRa9sdG86yviOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.95468&pitch=0&thumbfov=100,https://www.google.com/maps/place/Nasi+ayam+mbak+wiwik/data=!4m7!3m6!1s0x2e708d05fa0cd033:0xe371911d73797c9b!8m2!3d-7.0017693!4d110.4449119!16s%2Fg%2F11k5hqxw3t!19sChIJM9AM-gWNcC4Rm3x5cx2RceM?authuser=0&hl=id&rclk=1,,,Restoran,Jl. Tanggul No.5, ⋅ Tutup pukul 21.00
Warung Penyetan Bu Yati,https://lh5.googleusercontent.com/p/AF1QipMDfMcZaY0Z2muyQAvdFfOaxCU4lCprxa2gUVcc=w80-h106-k-no,https://www.google.com/maps/place/Warung+Penyetan+Bu+Yati/data=!4m7!3m6!1s0x2e708cbfb874c301:0x2d4d69bee54f7fce!8m2!3d-6.9933106!4d110.4478877!16s%2Fg%2F11f10dv2wk!19sChIJAcN0uL-McC4Rzn9P5b5pTS0?authuser=0&hl=id&rclk=1,"4,7",(119),Jawa,"2C4X+M5C, Jl. Gajah Tim. IV", ⋅ Tutup pukul 22.00
Penyet Sambal Mbak Ayu,https://lh5.googleusercontent.com/p/AF1QipO9RVpksr3VUFY9hEdIxH0fLBFNk6KP-aXrndJA=w129-h92-k-no,https://www.google.com/maps/place/Penyet+Sambal+Mbak+Ayu/data=!4m7!3m6!1s0x2e708c92ee7a5813:0x290037360f1432f0!8m2!3d-7.0029487!4d110.4480087!16s%2Fg%2F11h9ypqpgx!19sChIJE1h67pKMcC4R8DIUDzY3ACk?authuser=0&hl=id&rclk=1,"4,4",(36),Ayam,Jl. Gg. Belakang Jl. Tanggul No.pasar, ⋅ Tutup pukul 21.00
Rumah Makan Sinar Minang,https://lh5.googleusercontent.com/p/AF1QipMBl3GX9cyNIMCUwPiSds4Hs48GyjgIjLqbyGGw=w122-h92-k-no,https://www.google.com/maps/place/Rumah+Makan+Sinar+Minang/data=!4m7!3m6!1s0x2e708d7672cab8b5:0xfcb42ce15893b341!8m2!3d-7.0039525!4d110.4510504!16s%2Fg%2F11tpb21f8p!19sChIJtbjKcnaNcC4RQbOTWOEstPw?authuser=0&hl=id&rclk=1,,,Indonesia,Jl. Brigjen Sudiarto No.189,
Ayam Bakar Sedap Mantap,https://lh5.googleusercontent.com/p/AF1QipNRAjDxVCZJduG6bo670qPJxVqQQ0YIhV7imM04=w122-h92-k-no,https://www.google.com/maps/place/Ayam+Bakar+Sedap+Mantap/data=!4m7!3m6!1s0x2e708d10001caaa9:0x2dbdb6fca289ffc9!8m2!3d-6.9941297!4d110.4519845!16s%2Fg%2F11rd3jg873!19sChIJqaocABCNcC4Ryf-Jovy2vS0?authuser=0&hl=id&rclk=1,"4,3",(6),Ayam,Jl. Kanguru Utara VII No.35,
Angkringan Sun,https://lh5.googleusercontent.com/p/AF1QipM_SJjtVfD8xqhpjK156dDIgJX1kdZM6o6Xjc2Q=w80-h106-k-no,https://www.google.com/maps/place/Angkringan+Sun/data=!4m7!3m6!1s0x2e708dd4b9d1a0df:0x7089bbac9fe2425a!8m2!3d-7.0001135!4d110.4451738!16s%2Fg%2F11j2x_f2m0!19sChIJ36DRudSNcC4RWkLin6y7iXA?authuser=0&hl=id&rclk=1,"5,0",(3),Restoran,Jl. Majapahit No.91, ⋅ Tutup pukul 01.00
SOTO AYAM KAMPUNG PAK NUR,https://lh5.googleusercontent.com/p/AF1QipN8WsBazO2pMLRQ0eoRM8_jH_CgwOKXVVkytpgm=w163-h92-k-no,https://www.google.com/maps/place/SOTO+AYAM+KAMPUNG+PAK+NUR/data=!4m7!3m6!1s0x2e708c92dc7732a1:0xbcf1e2c889235cc9!8m2!3d-7.0027546!4d110.4490174!16s%2Fg%2F11c7wg8s3c!19sChIJoTJ33JKMcC4RyVwjicji8bw?authuser=0&hl=id&rclk=1,"4,2",(23),Soto Ayam,Jl. Majapahit No.150, ⋅ Tutup pukul 00.00
Soto Semarang,https://lh5.googleusercontent.com/p/AF1QipMFVUoHI9lZsKbJGeIaMUn9Vi_T2SIAFsTeUnS3=w80-h142-k-no,https://www.google.com/maps/place/Soto+Semarang/data=!4m7!3m6!1s0x2e708d83f2327a77:0x8b33ba5456ed9f7a!8m2!3d-7.0027258!4d110.4504116!16s%2Fg%2F11h1bmjjxd!19sChIJd3oy8oONcC4Rep_tVlS6M4s?authuser=0&hl=id&rclk=1,"4,9",(8),Soto,Jl. Beruang Dalam Bar. No.29, ⋅ Tutup pukul 21.00
